"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b1[1]",0,0,0,0,0,0,0,1,1
"b1[2]",-6.50681252627076,2.63243637721798,-12.7675117334889,-7.9908709036539,-6.02224178688995,-4.5808986771394,-2.68777727983904,1.00102160218294,20000
"b1[3]",-0.641761787643803,0.160549978590091,-0.964405773051618,-0.748827475195388,-0.637574013282141,-0.531852091667129,-0.331666027420115,1.00167248666565,3200
"b1[4]",-4.90339225950179,2.96688790843005,-11.7670403031441,-6.63310420326715,-4.4696719967476,-2.74264950054179,-0.299720731020366,1.00126408961025,6800
"b1[5]",-0.0295337645086189,0.219916865939089,-0.468149394041857,-0.17722721923541,-0.0304104744580383,0.115670491756666,0.407483474130875,1.00303201499923,1200
"b1[6]",-0.806143222333163,0.168601194428088,-1.1419436905352,-0.918310178929577,-0.803113754357486,-0.693623934480723,-0.479006194853837,1.00113013125993,11000
"b1[7]",-1.66474818692031,0.441151358979027,-2.55391939823932,-1.95811877146986,-1.65745988111223,-1.36398483304008,-0.822474580008003,1.00260651197205,1500
"b1[8]",-5.28765318384089,2.93221242598328,-12.284923780297,-6.97993567220784,-4.79774793773311,-3.10455933876452,-0.97539570919497,1.00095579470578,20000
"b1[9]",-5.22504934550046,2.84174776543392,-11.9268179618927,-6.88243076830244,-4.76847778532063,-3.12961255232282,-0.997999882700518,1.00143179582646,4700
"b1[10]",-5.90765358518293,2.74732484550532,-12.3400364190715,-7.46240981727567,-5.40386522687947,-3.88687678166168,-1.93876957016512,1.00136927347323,5300
"b1[11]",-6.19287044474211,2.69593370779425,-12.4764380940799,-7.75581088406134,-5.71989307448512,-4.18035425991539,-2.29335099980459,1.00134289937951,5600
"b2[1]",0,0,0,0,0,0,0,1,1
"b2[2]",-0.697439533007121,0.13620354385437,-0.964284928797961,-0.791330601481117,-0.696783314605044,-0.605560481767427,-0.429753596965392,1.00097382673664,20000
"b3[1]",0,0,0,0,0,0,0,1,1
"b3[2]",0.379559523957833,0.283087360040829,-0.171775686960629,0.186724436980196,0.376213512556503,0.569937018205892,0.940251881381873,1.00428110320176,740
"b3[3]",0.25270733756343,0.277194893004947,-0.28862297359317,0.0668604208424192,0.249322601949249,0.434809153412769,0.801910949665255,1.00430514990486,740
"b3[4]",0.115712745071929,0.299489737124458,-0.461416950239845,-0.0865826692018205,0.112661002162585,0.313154343863858,0.715551736998857,1.00465678531996,670
"b3[5]",0.0415551780008824,0.270860622859721,-0.485847720998127,-0.141737524691653,0.0371974950196389,0.226696874008202,0.576512474610671,1.00548944399522,550
"b3[7]",-0.382524361458286,0.279317944380864,-0.919035191680555,-0.571740903038719,-0.385533393029924,-0.195729604249193,0.169906044156627,1.0060545011263,490
"b3[8]",-0.72140984224172,0.325669539534793,-1.36446600366979,-0.938040841862623,-0.721237085327115,-0.506550097445526,-0.0779190703931619,1.00292913712833,1200
"deviance",1181.00318877624,9.11041680959389,1163.69893729729,1174.88101860784,1180.74467187349,1186.83998286495,1199.75825988076,1.00152191387534,4000
"eps[1]",0.10894447033603,0.970114147347262,-1.79157723479997,-0.54802880480745,0.110381604617741,0.766762455908815,2.0035880734099,1.00118863206492,8600
"eps[2]",0.121203721976319,0.981583279575129,-1.80146616967033,-0.540194507605439,0.117072492012998,0.792763321213619,2.04098540532142,1.00109432639979,13000
"eps[3]",0.118186593512329,0.987976964495548,-1.81867217213537,-0.54443886721209,0.123753221540493,0.784457936819796,2.01552169536957,1.00109967586526,12000
"eps[4]",0.119215315252806,0.980847651078193,-1.79872936872961,-0.536101878544233,0.119842149322158,0.777979483745335,2.03018905863062,1.00114173322,10000
"eps[5]",0.113092603378246,0.982080321930719,-1.80487528170117,-0.552855606070433,0.110148506551355,0.769453618078809,2.03537331581241,1.0011127659034,12000
"eps[6]",0.103976192145673,0.992033549417925,-1.83712315147595,-0.559275150831549,0.0904431240385352,0.778334204006868,2.04980395447955,1.00133958599344,5700
"eps[7]",0.114578991447172,0.978989872677599,-1.79688630963709,-0.542473272813989,0.12996188285338,0.769290183026661,2.03037629297787,1.00093394594167,20000
"eps[8]",0.375695343483581,0.95403448093092,-1.49750314316689,-0.272432072884485,0.383891936786078,1.02547592953192,2.2198949100039,1.00161357867659,3500
"eps[9]",0.390212070783814,0.985530400041512,-1.51395891477226,-0.277789069783229,0.389100652609489,1.05318228657187,2.32175761746171,1.0011619488654,9500
"eps[10]",0.383442344320698,0.98411389437782,-1.51492785888677,-0.285895223034837,0.375246922319748,1.04460778979711,2.34136186188705,1.00111310845088,12000
"eps[11]",0.359474550038476,0.980548879441288,-1.55311472460352,-0.300836766104797,0.356937575695924,1.02651698717666,2.26832511790348,1.00106090371206,15000
