"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"phi1",0.301806576061239,0.0636080681069936,0.397678122054768,-0.583509499195149,0.0243652266135941,0.363996880205129,0.619234457330739,0.889349737233923,39.0875984070125,1.14465557102743
"phi2",0.205165248907392,0.0285462511384818,0.304176234893835,-0.401294631371652,-0.0111361436786102,0.228683172617996,0.438002309589287,0.714438032277544,113.540916444538,1.02376837494406
"sigma_disp",0.76795425736832,0.00110970320239379,0.0475501131222729,0.676074022348802,0.735637028106319,0.768427999000566,0.798717553451218,0.863595736556474,1836.07082718131,1.00092882500902
"sigma_set",0.259309922680343,0.0112069082924277,0.169883338274893,0.0217888413862054,0.138260476786068,0.226563761392116,0.34545940618703,0.676527859285268,229.789371238489,1.02425332493742
"sigma_period",0.651554744580331,0.00835885178523751,0.128541517102084,0.413318159954496,0.560479732937159,0.648315856926291,0.736718487391609,0.919560167618399,236.479551710598,1.0221375561069
"sigma_init",0.179718687589428,0.00556040209709771,0.158875666744108,0.00717353627680262,0.0622492933821862,0.135968666635368,0.2524771352067,0.567181754874778,816.398833237799,1.00439522773339
"sigma_day",0.461456104870573,0.00360693912988599,0.106687631482577,0.295519711417803,0.385033968373874,0.448490940118916,0.520576429785445,0.713439056687103,874.88409390033,1.00362983721904
"eps_set[1]",-1.05041911888957,0.0314859124238218,0.644845494284897,-2.29821992806971,-1.43571316456155,-1.0646867295787,-0.695660393780961,0.363450006456751,419.448622993082,1.00845600135877
"eps_set[2]",-0.67772032328046,0.0161602180341868,0.621731846349713,-1.82629346705906,-1.05930728043819,-0.710392263025881,-0.333155935006747,0.77529597602671,1480.17067158046,1.00226355177077
"eps_set[3]",-1.02737262319362,0.0225893134261727,0.632966373579331,-2.23421291598108,-1.43270802706503,-1.0235603602319,-0.678278885272322,0.338050504813126,785.154663903971,1.00434985635181
"eps_set[4]",-0.289295829515903,0.0162159927808049,0.636675469369036,-1.52066519767479,-0.67096308547839,-0.324705908962757,0.0555055746910285,1.09530723247591,1541.51994987681,1.00284282998602
"eps_set[5]",0.351562789546038,0.0200248097339315,0.648420483182675,-0.761469493508205,-0.0878237717520166,0.266548207627382,0.712215611115993,1.78827519195341,1048.5198442215,1.00105196422546
"eps_set[6]",-0.713946959395663,0.0191264198472022,0.648209383071684,-1.95177498517043,-1.11597656522829,-0.746158058926528,-0.365999523489138,0.740266403407459,1148.58530866193,1.00330542077006
"eps_set[7]",-0.160320319921693,0.0144937343062364,0.616281401615448,-1.29213671610796,-0.54829376815658,-0.215087555403743,0.189650380202724,1.20780947289342,1807.99627669913,0.998758693982347
"eps_set[8]",-0.632243247451773,0.0180692586399114,0.681119495239727,-1.88434965351363,-1.05689820809115,-0.687713262409928,-0.256375826562663,0.889943738067993,1420.90797991842,1.00574879472603
"eps_period[1]",-0.0849171755593255,0.0174141431113823,0.970241863555559,-2.00374511695203,-0.715684693740783,-0.0938771794518467,0.599182774726084,1.79134080252438,3104.24364304411,0.999358826426711
"eps_period[2]",-0.0315864067359428,0.015623642293263,1.02371348844178,-2.03115315686555,-0.733629284281594,-0.0209690708418663,0.638993276145094,2.00631575592767,4293.31028587661,0.998608491107978
"eps_period[3]",-0.0349094673481576,0.0185715813493218,1.00051266453615,-1.95471480337848,-0.742324726351719,-0.0425095618471602,0.658120401381472,1.91395323027335,2902.3341413552,0.99883625917599
"eps_period[4]",-0.0362477972893108,0.0151693869218198,0.965674997864238,-1.95965034937966,-0.66484371037067,-0.0285654043379875,0.616475196692642,1.85722472465561,4052.52699764613,0.99862264849918
"eps_period[5]",-0.0243090008966348,0.0169182178795233,1.01696097443856,-2.04296962594793,-0.737860004296428,-0.0275616734581793,0.667631017105168,1.98012825363585,3613.26111487626,0.998487781168938
"eps_period[6]",-0.0512562978099444,0.0183063314320482,1.00375030012199,-1.98624054478554,-0.733942970370756,-0.0580349706209289,0.642161957135934,1.91975116100549,3006.41364925888,0.998806627082661
"eps_period[7]",0.00769554162537737,0.019345333743736,1.01756325007561,-2.04679389203202,-0.635647717992367,-0.000469113158952938,0.65722494399578,2.02826677322869,2766.7529042529,0.999500204127266
"eps_period[8]",-0.0335456106593734,0.0164181301862376,1.01240263720323,-2.0367350349156,-0.711164101828355,-0.0247773204593325,0.634355781725817,1.97721002642056,3802.41176877592,0.999761524197302
"eps_period[9]",0.00328167502634315,0.0176505475925469,0.972126458576953,-1.87394219545848,-0.656380664715916,-0.00383287182358402,0.654095957968507,1.94630231344879,3033.3963516376,1.00007847536685
"eps_period[10]",-0.0487001916694702,0.0170266784982013,0.958615650760832,-1.9524164377742,-0.703596298752067,-0.075526839026779,0.633489306841679,1.81629267042407,3169.78027883434,0.999157005178998
"eps_period[11]",-0.0126749538465658,0.0175065857870232,0.939742111555427,-1.88437992464759,-0.63522836614675,-0.0121275341485094,0.608196416793378,1.81105655195902,2881.47240662307,0.998531907935402
"eps_period[12]",-0.0163026972722486,0.0167986557352719,1.03756198142657,-2.12368872926355,-0.712130298818575,-4.24239644345216e-05,0.684789527120814,1.90973328192416,3814.86382329701,0.99844090998359
"eps_period[13]",-0.0271849929183043,0.0144656097440373,0.952865626533585,-1.90707247982093,-0.6646513979792,-0.0365355197471995,0.607101319230962,1.83583590813816,4339.00181997428,0.999220963811606
"eps_period[14]",-0.0536485944344117,0.017786957101143,1.01566090790792,-2.01757633501149,-0.757354921123075,-0.0449717354518128,0.620056434547658,1.91418284188908,3260.57473395667,0.999332883025681
"eps_period[15]",-0.0640722915683634,0.0172313532309385,1.00119497414661,-1.99910441386328,-0.753272572817756,-0.0488669052148179,0.595095142345501,1.87391883318039,3375.96978609235,0.998523830551778
"eps_period[16]",-0.00484262280531746,0.0177897383150226,1.01688133512885,-1.9695394304825,-0.679234819156072,-0.0146729785572449,0.656138232429127,2.00464049732584,3267.3934374524,1.00021225681879
"eps_period[17]",0.005765847174775,0.018950693658094,1.03139843199267,-1.9093427557344,-0.689919434800598,0.0159220700621795,0.69635578033187,2.05811804179361,2962.12042803036,0.998878080626698
"eps_period[18]",-0.00656329126694638,0.0173760662648356,0.982696452721003,-1.94180195856176,-0.677504953071659,0.00114451687420301,0.656913409591262,1.92139337984525,3198.42262193632,0.999840460422545
"eps_period[19]",-0.00866127340586015,0.0193426784088085,0.990093550956606,-1.93727909957396,-0.676880703147928,-0.0331876790737024,0.65302675315411,1.9336671334715,2620.10828754467,0.999068025335754
"eps_period[20]",0.0058876317082365,0.0205549929933477,1.0154814842636,-1.87256960580067,-0.674192434349373,0.000375888711053179,0.678495103780267,1.95702362129512,2440.67162488007,0.99985539989249
"eps_period[21]",0.047506164591512,0.0175576550053611,0.983548253378253,-1.92125564324464,-0.598783632485425,0.0480816942813945,0.694913773330526,2.02541493159705,3138.03888283436,0.99860514818485
"eps_period[22]",0.00775884199083691,0.0176822434966563,0.972390982079202,-1.88909161828725,-0.637988544320008,0.0174149342845562,0.638302026508196,1.93677850951306,3024.17634125267,1.00021193543956
"eps_period[23]",-0.00730835637296112,0.0183525822095774,0.964824760311585,-1.9073874933497,-0.642717776588906,0.0126835203446587,0.645093312825243,1.81968411471094,2763.77398261218,0.999224502718195
"eps_period[24]",0.0195709774645222,0.0157249327613675,0.996293885487847,-1.89227229702671,-0.678890796193725,0.0138317678496672,0.696303867308434,1.95638329905991,4014.18455562584,0.999430444667463
"eps_period[25]",-0.00378112097571017,0.0187752617077352,1.02724297022085,-2.00033197662887,-0.730086466502055,-0.00920941346630198,0.684061685107648,2.00201329726876,2993.46618887653,0.999396843750357
"eps_period[26]",-0.0372173941185802,0.016762728682409,0.970775233175722,-1.85365011375759,-0.726675176261927,-0.0374632037082006,0.660840169203603,1.78454250280612,3353.88327983006,0.999706693665481
"eps_period[27]",-0.0138708702290616,0.0169803015576239,0.953536505563813,-1.93364428916005,-0.658943173984303,-0.0189697871720712,0.616225544589309,1.81651008678158,3153.43476616895,0.999330333740078
"eps_period[28]",-0.0424851223571271,0.0176878942701122,0.963063233464703,-1.87938729723056,-0.710847461570777,-0.065620965958966,0.624082335236297,1.90099772893609,2964.54016936263,0.999688745664473
"eps_period[29]",-0.00888357991643921,0.0162697779895631,0.985934598913175,-1.9342668964194,-0.672040342955347,-0.0126292462436003,0.651569829256799,1.94458122708929,3672.25610213049,0.998378123610927
"eps_period[30]",-0.025364306815707,0.0186868587727922,0.93917606847625,-1.86153764798092,-0.650836810163393,-0.0333205434536691,0.597965964863795,1.84254678267791,2525.93068316554,1.00021121231618
"eps_period[31]",-0.0168265808135492,0.0180186869756879,0.963461455445405,-1.89881248647178,-0.6676033161988,-0.034932195597163,0.654621828826535,1.88356130590347,2859.05432994848,1.00010564455249
"eps_period[32]",0.0180074214775445,0.0176092700482847,1.00153645970067,-1.99710027489893,-0.666725142922283,0.0042491030475725,0.710941700291138,1.99057033079204,3234.82522024246,0.998500156120572
"eps_period[33]",0.0295479530674029,0.0148779370185771,0.967888505919516,-1.88704480969697,-0.618190053571848,0.033640463156383,0.690446645512574,1.89600095657206,4232.1907445156,0.999623529769139
"eps_period[34]",0.0480341738869978,0.0187878252219425,0.974624221092297,-1.86298839220459,-0.592618889741345,0.0461208657918163,0.696615932699143,1.93208053304848,2691.04758591451,0.999031076336077
"eps_period[35]",0.0162246977693065,0.0186231817225407,0.975286648420171,-1.92881092227376,-0.618544633029034,0.024570871577658,0.687111587179025,1.94007900523416,2742.56415456769,0.998541692303569
"eps_period[36]",0.0932991334034787,0.0176573254934956,0.982610230148338,-1.82505583137563,-0.582243361089457,0.0835203317212136,0.757016416055434,1.98588172325448,3096.79685338111,0.999212767789394
"eps_period[37]",0.109637874959221,0.0156987853794843,0.961506091523837,-1.81518583731498,-0.540761893600344,0.11571269771827,0.753584978302005,1.95602501946226,3751.21516659633,0.999158371155871
"eps_period[38]",0.123528351246352,0.0172209926676591,1.00864513630279,-1.82567502815091,-0.572891941750941,0.126217717683794,0.795856357408682,2.14513021424822,3430.52377668995,0.999935829600974
"eps_period[39]",-0.0881542848577278,0.0173020132280609,0.997341782159976,-2.00291710645302,-0.758617888773459,-0.0996538598754114,0.596104319300595,1.80993239601849,3322.72766693824,0.998236922452571
"eps_period[40]",-0.0445825147974243,0.017222050079511,0.968304339850299,-1.98596307739938,-0.66760299547675,-0.010542969809023,0.593883337600188,1.9009125719669,3161.21519731327,0.999998609236309
"eps_period[41]",-0.0772733520491382,0.0163913363955483,0.973672828095601,-2.04815360801446,-0.730001785566359,-0.0589074921120562,0.561289601811169,1.86390992871199,3528.55892548369,0.999563856447665
"eps_period[42]",-0.0414169889462625,0.0199158998728854,1.01525405090185,-2.05389942294019,-0.712787383888691,-0.0299228264223162,0.634011534442597,1.8497134340001,2598.66079023625,0.998849000434957
"eps_period[43]",-0.0988439229785351,0.0168767705840034,0.987337905548307,-2.01016770252488,-0.763738527013253,-0.0965519574464748,0.555539330384684,1.81486692658251,3422.57463656705,0.998605927232282
"eps_period[44]",-0.062349002565248,0.0159410863604883,0.947724059572728,-1.89636671055109,-0.719534528717724,-0.0609270349467086,0.606370171528408,1.72561167967501,3534.49997549935,0.999029875939772
"eps_period[45]",-0.0396234353779553,0.017805356882612,0.961673203940387,-1.89714096839104,-0.700965664472971,-0.0625176191611562,0.595060330896948,1.88474395334191,2917.11576456177,0.999579847945194
"eps_period[46]",-0.0459521955685855,0.0169334913718816,0.979628900462822,-1.9588741363183,-0.701869126129864,-0.0287216263995915,0.586615649456493,1.85817811547379,3346.8030515075,0.998942787612582
"eps_period[47]",-0.00958664347667947,0.0177218109363771,1.01579763935734,-1.91035305883132,-0.689862180078405,-0.0166814138005807,0.685509149150053,1.90758757318632,3285.47525372826,0.99930466561218
"eps_period[48]",-0.276418075140292,0.0195201362677984,0.969209950332026,-2.19829034464438,-0.93501188285742,-0.282897012394651,0.37712126824491,1.62176411937569,2465.30148941432,0.999749525775835
"eps_period[49]",-0.291161273351121,0.0189292327820219,0.977281824509682,-2.198864348177,-0.935066954244706,-0.299012899785794,0.335255670140097,1.70392147903474,2665.46890016771,0.999385325734973
"eps_period[50]",-0.272661819073508,0.0157474526480454,0.937534732535585,-2.04434837099243,-0.905761966140381,-0.288328759802226,0.355068581033409,1.5735147305965,3544.49288966854,0.999417291567279
"eps_period[51]",-0.242457594642896,0.0189834680850889,0.982978683984718,-2.11658389507244,-0.947465205135812,-0.228663252526267,0.458397791714062,1.70777880741364,2681.2486287836,0.99886943350296
"eps_period[52]",-0.282678084137649,0.0152597028978132,1.02943779477789,-2.25601794247872,-1.00682478241866,-0.286768225268713,0.425479433625569,1.74645165579425,4551.01284803807,0.998927276163236
"eps_period[53]",-0.0265374454381484,0.0163605469367374,0.988670105414731,-1.99239744071878,-0.680849224231697,-0.0330620223198089,0.60775404159442,1.89583870267277,3651.80155116075,1.00078854770519
"eps_period[54]",-0.043200825292269,0.0151115271331063,1.01780413577533,-2.0159822342911,-0.719716578694991,-0.0648816174823419,0.67944705669964,1.9187767477868,4536.40386713468,0.99867460859337
"eps_period[55]",-0.0490622393941535,0.0138596367685753,0.991596822613057,-2.00660682231206,-0.710417997523426,-0.0504831088752217,0.632637687903438,1.82987988021024,5118.78107917135,0.998605206785917
"eps_period[56]",-0.019681572565818,0.016073058707713,0.962517288256666,-1.96659872295538,-0.64066061255245,-0.0178875990040535,0.625767665907994,1.85175243869696,3586.080345916,0.998614113069691
"eps_period[57]",-0.0549042322225868,0.0175272542240378,0.978532918582743,-1.97912169990389,-0.723358477275866,-0.0319968268447778,0.581717637149226,1.85469684044172,3116.90171988871,0.999260676228031
"eps_period[58]",-0.0481686559620851,0.0157477235918091,0.979906191820889,-1.93939299603809,-0.696421051235139,-0.0553752945622837,0.619059880625991,1.84886658223993,3871.98295766727,0.998996171601344
"eps_period[59]",-0.0085367321606686,0.0152441996857815,1.01003464892229,-1.93030874567963,-0.702712719032524,-0.0016688608158621,0.694143355345777,1.86845599483228,4389.9875310715,0.999351599147227
"eps_period[60]",-0.0205920112006738,0.0164454860913525,0.960593641083117,-1.90977892902248,-0.696457674062727,-0.028655498538091,0.646052499961951,1.79875311454831,3411.81901426236,0.998815039115673
"eps_period[61]",0.00944399689382301,0.0166730983438853,0.990456655661214,-1.91985629769709,-0.679675754251678,0.0194464127011971,0.695021590836392,1.94712357203349,3528.89166370243,0.999101043406433
"eps_period[62]",-0.0399205415643162,0.0170066264928834,0.98420622993653,-1.93130179919214,-0.690729152184348,-0.0619434696921516,0.597985369465627,1.95207627366976,3349.1598191587,1.00010227558125
"eps_period[63]",0.00138469044616653,0.0167418257108589,0.990162912701743,-2.02871945169875,-0.669282815629765,0.0169765266005576,0.674992461729312,1.94719059858447,3497.90232458281,0.998968895527806
"eps_period[64]",-0.0693510706009399,0.0208209239570145,1.00808520427858,-2.101411953625,-0.712048528449897,-0.0397326613849899,0.585038925159403,1.89796815055304,2344.19904791582,0.999828096309146
"eps_period[65]",-0.0372008139942223,0.0166788088588708,1.01588853970349,-2.12676919606349,-0.737002063546068,-0.0311877926679047,0.668413124990339,1.90629794747027,3709.89876484078,0.998525278660319
"eps_period[66]",-0.0881277995687105,0.0166248083331538,0.967096212993259,-1.92420721996697,-0.738472284328065,-0.0972603652742642,0.542138561933222,1.81823811978839,3383.96662628881,0.999137914036203
"eps_period[67]",-0.0509518409926401,0.019957641111274,1.00291865708097,-2.022739211711,-0.738444440784639,-0.0475582666772107,0.658994218387874,1.86989315906577,2525.30014487625,0.999543048181027
"eps_period[68]",-0.357155018013342,0.0172432248838976,0.949247874474379,-2.25267050218785,-0.95797637282211,-0.336277813073806,0.263711973226066,1.46715880247157,3030.55578157846,0.998495178048463
"eps_period[69]",-0.0827453144920411,0.0169675050758988,0.956563745894787,-1.95885567563124,-0.701142908794919,-0.0824698981095749,0.531618000322675,1.79273106307648,3178.27782852735,0.999352397812406
"eps_period[70]",-0.145713191567427,0.0193263494253416,1.04111158704681,-2.11437063107576,-0.871377317571669,-0.152219908573748,0.604630554292194,1.89044794487822,2901.98327477617,0.999594667148451
"eps_period[71]",-0.198936746450029,0.0220688944560353,0.954832757345865,-2.07665092449835,-0.841997905971836,-0.196062683078833,0.416777729798041,1.6658638402883,1871.94663762927,1.00706173733564
"eps_period[72]",-0.501365526439813,0.0198538638182273,0.911834185775361,-2.24737942333968,-1.10530099764993,-0.501810182434003,0.115540532354478,1.27278262543182,2109.31608044177,1.00042674383183
"eps_period[73]",0.0771458674066693,0.0186845569596203,0.983572763598885,-1.83977208794667,-0.618553101177034,0.0888362204773885,0.741157157983991,2.0154747232069,2771.06925016999,0.999577152470554
"eps_period[74]",0.0299097074406592,0.0160143023836885,0.980066079805266,-1.92921650520915,-0.623886892788139,0.0203833389953572,0.65065208779976,1.98706135724587,3745.3694838815,0.998639247480093
"eps_period[75]",0.0419799105914777,0.0173846448717309,1.00994451259887,-1.87598022278196,-0.654481632779304,0.0530950446931109,0.723384027878069,1.99613294827427,3374.91920806444,0.999048814588996
"eps_period[76]",-0.0226828456678109,0.0180095295531609,0.977043864296623,-1.95237736324396,-0.678964221730363,-0.03340468357453,0.627322711085407,1.95275111341742,2943.22447953496,0.998199801135991
"eps_period[77]",0.0919637487735639,0.0209615426057939,1.0092184896782,-1.88513013265122,-0.59265378536777,0.102901769473956,0.793151439110968,2.02439045517669,2318.05596379603,0.998563619909625
"eps_period[78]",0.0278408070771653,0.027311452098984,1.01332296105843,-1.99350454035053,-0.663117313640714,0.0564213708879753,0.710914307603008,1.91899027633987,1376.59498881487,1.00095233984483
"eps_period[79]",0.272579068435924,0.0267701176502981,1.00957338162509,-1.75299953422898,-0.375661241044983,0.30554191354896,0.952737340092211,2.1663206230932,1422.24764469039,1.00456205507064
"eps_period[80]",0.631217966291724,0.0170129543630705,0.790754270263,-0.929446026030926,0.1069281502315,0.614750398820381,1.17692902060319,2.16260974205553,2160.34751526956,1.00178479941229
"eps_period[81]",-0.00152690113236605,0.016598382311546,0.939522351852654,-1.8677243951933,-0.620775375116336,0.0210411334269113,0.58324712619426,1.79865271577393,3203.9276941986,0.999081825152693
"eps_period[82]",-0.0885310217544583,0.0185799796884581,0.982476289726789,-1.97587987269181,-0.757206858293397,-0.0960304539864244,0.554788538710301,1.76851257349206,2796.10635621786,0.999702974598912
