"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b1[1]",0,0,0,0,0,0,0,1,1
"b1[2]",-7.12029733343791,5.38960574658608,-19.9084999882171,-8.2279822979287,-5.85320458927165,-4.30196751605433,-2.34578228512865,1.01747467125663,4000
"b1[3]",-0.134339536947895,0.126659028011849,-0.383431821236794,-0.220820795113447,-0.135055877887373,-0.0475625873952856,0.118023868918385,1.00076133418881,4000
"b1[4]",-0.591619421023989,0.214671355901705,-1.01464328455981,-0.732572396671749,-0.597208181647066,-0.453575092339593,-0.160748909347308,1.00054244994906,4000
"b1[5]",-0.59018069449574,0.126623845815648,-0.840223612549028,-0.672980307153417,-0.588788788688943,-0.507174289194842,-0.346905828115339,1.00061610643211,4000
"b1[6]",-5.93684520470229,5.64128609618642,-19.5114484899159,-7.28558814911185,-4.54361388372541,-2.80103681118678,-0.546974132957958,1.01255065062027,4000
"b1[7]",-5.80215033797207,5.64952273762277,-19.7043027822721,-7.07836293713748,-4.40666821182324,-2.69575327879195,-0.616225711901419,1.00782439017711,4000
"b1[8]",-6.60643739162649,5.18368095314455,-19.964477632797,-7.92527243351349,-5.26107815418895,-3.64605271671693,-1.73262305906179,1.00660940057544,3000
"b1[9]",-6.93017894011337,6.32750771684296,-20.7207994053204,-8.15332603377523,-5.54382546117795,-3.92314195200594,-1.96605063282473,1.08191804891536,2400
"b2[1]",0,0,0,0,0,0,0,1,1
"b2[2]",-0.980130241034528,0.109664778360367,-1.19904515186051,-1.05406269090239,-0.977663701290257,-0.906136515305746,-0.772073459120175,1.0010402414022,4000
"b3[1]",0.294557610365267,0,0.294557610365267,0.294557610365267,0.294557610365267,0.294557610365267,0.294557610365267,1,1
"b3[2]",0.338673558302622,0,0.338673558302622,0.338673558302622,0.338673558302622,0.338673558302622,0.338673558302622,1,1
"b3[3]",0.275462063750494,0,0.275462063750494,0.275462063750494,0.275462063750494,0.275462063750494,0.275462063750494,1,1
"b3[4]",0.18627047597419,0,0.18627047597419,0.18627047597419,0.18627047597419,0.18627047597419,0.18627047597419,1,1
"b3[5]",-0.0248478885937793,0,-0.0248478885937793,-0.0248478885937793,-0.0248478885937793,-0.0248478885937793,-0.0248478885937793,1,1
"b3[7]",-0.361135299412783,0,-0.361135299412783,-0.361135299412783,-0.361135299412783,-0.361135299412783,-0.361135299412783,1,1
"b3[8]",-0.766600407520949,0,-0.766600407520949,-0.766600407520949,-0.766600407520949,-0.766600407520949,-0.766600407520949,1,1
"b3[10]",-0.137905507746661,0,-0.137905507746661,-0.137905507746661,-0.137905507746661,-0.137905507746661,-0.137905507746661,1,1
"b3[11]",-0.222480055462613,0.110382325676735,-0.434503062116965,-0.297345151085457,-0.223982477160225,-0.147080059660824,-0.000839425685021479,1.00082190090206,4000
"deviance",1808.41981027621,8.50694681899947,1791.90806524271,1802.83864212395,1808.36458277627,1813.89788472066,1825.73501637123,1.00168229573735,2100
"eps[1]",0.186578788873598,0.986777006685618,-1.69794856905993,-0.461498268334113,0.176699207356097,0.850474493503394,2.13610335186514,1.00078220013315,4000
"eps[2]",0.177548366115339,0.966811763075434,-1.74351789973338,-0.488315649330711,0.185264884542349,0.833811550311481,2.04254737890115,1.00138644763378,2800
"eps[3]",0.202405932554849,0.994092701662938,-1.75072500462988,-0.474841717435192,0.201347105482219,0.894394114464822,2.15529987941529,1.00139845374318,2800
"eps[4]",0.174019888946016,0.984630044900353,-1.75420598252277,-0.484649493414289,0.167647986659564,0.850092882281416,2.10596297418074,1.00151368411287,2500
"eps[5]",0.215294647238239,0.964528258955188,-1.70165108729383,-0.430944441317354,0.222643755558914,0.839636787372706,2.16895011026273,1.00255168517751,1200
"eps[6]",0.211195994831428,0.970331606717998,-1.71967594122255,-0.446712548606305,0.208237614758845,0.875807095731314,2.08381554350891,1.00400622913304,720
"eps[7]",0.160247449754758,0.962063755878609,-1.72946040666884,-0.477880153728969,0.161023030979545,0.795595089374115,2.07828006812227,1.00062340334854,4000
"eps[8]",0.421385716296071,0.986823764866258,-1.54837729188025,-0.226578770328119,0.431073790828063,1.09737928870244,2.31877553105986,1.00080767614894,4000
"eps[9]",0.447045112964393,0.981561629968186,-1.48769493135757,-0.214857163898647,0.463940425221275,1.08489698976896,2.38463492602457,1.00200603592536,1700
"eps[10]",0.461880055842529,0.979722972001751,-1.50486320902103,-0.183480605973541,0.462796508191708,1.14487540672163,2.36436869880924,1.00067621627378,4000
"eps[11]",0.437414067955515,0.967218728637028,-1.48052372151092,-0.244364514299453,0.442234178139281,1.09494612186169,2.30538057243083,1.00087430670011,4000
"eps[12]",0.434158868049158,0.973274992707057,-1.44202856824265,-0.220497708691177,0.42486754685349,1.08843263806738,2.37659465201766,1.00160898756423,2300
"eps[13]",0.359364538718105,0.960493064103778,-1.52874111964624,-0.275573284737632,0.362913778712797,0.999628966950677,2.22013321291983,1.00074665944921,4000
"eps[14]",0.368557236567849,0.967188856603079,-1.51382952591949,-0.286080956443182,0.375450260299232,1.03512529011868,2.23961781553168,1.00279146278883,1100
"eps[15]",0.00182544128891398,0.956208992709774,-1.81684090383439,-0.651056428860954,-0.000814825872561598,0.624804252258666,1.92899015177555,1.00117903197516,3700
"eps[16]",0.325707374580248,0.93501946368136,-1.52035447850187,-0.294158010570938,0.32388221064175,0.944101073665851,2.15318444550757,1.00056691559248,4000
"eps[17]",0.523862761594077,0.939874816942276,-1.36370788413039,-0.10460540726179,0.540696148181532,1.14990447316404,2.34251903966246,1.00059246472023,4000
"eps[18]",-0.0386414165843774,0.942972559705465,-1.88641263618453,-0.660604570986259,-0.0568537054002327,0.588523517817785,1.81771564598343,1.00141837491677,2700
"eps[19]",0.0808146535574148,0.9507601158797,-1.74372818655492,-0.568737221717883,0.0683546717308235,0.710711692739348,1.99268086655624,1.00090272626041,4000
"eps[20]",0.479650475826086,0.927797388441494,-1.38237071768837,-0.138848077992282,0.46326819737689,1.09852467475859,2.33095865476819,1.00114732449452,3900
"eps[21]",-0.0461320173137623,0.949915311914701,-1.88624168154604,-0.683285288027742,-0.054958201929598,0.586719678162646,1.85269811857787,1.00090676869682,4000
"eps[22]",0.0882798023666117,0.934727648262696,-1.74527084032357,-0.536332014353468,0.106281340263242,0.718244109047927,1.92166855520131,1.00051917880212,4000
"eps[23]",0.129276100122022,0.932330875973475,-1.69400738384839,-0.484752185923053,0.126328510216259,0.763930791222497,1.98535205418969,1.00080698647483,4000
"eps[24]",0.116071599523873,0.934178285957384,-1.73969831602775,-0.504238953993693,0.0994466600377045,0.755669359787513,1.98173068946348,1.00090158273208,4000
"eps[25]",0.523503553700946,0.919412459158951,-1.28708650415847,-0.0970927738617876,0.520888970826994,1.14917022125111,2.32035318858921,1.0011938896425,3600
"eps[26]",0.370730308076513,0.939317898280427,-1.45119233087525,-0.275622901038546,0.37444264693615,1.00268044298392,2.21638440436021,1.0008429480239,4000
"eps[27]",0.381142553010528,0.934606647791997,-1.41708519429196,-0.251721257083926,0.368160861008874,1.02060883608291,2.21388803699961,1.00159574954875,2300
"eps[28]",0.210608243400747,0.942530136312778,-1.63062347331235,-0.426349341877415,0.200790380533468,0.845959609479842,2.07634509516519,1.00077826751106,4000
"eps[29]",0.508224341942225,0.905957004446129,-1.2333175302911,-0.103306783889214,0.516419155205098,1.12106577933595,2.31608788817214,1.00057966442482,4000
"eps[30]",0.83147207552559,0.935368738138154,-0.998710977107334,0.190097494662929,0.840106248593504,1.46816400316201,2.62202409263509,1.00106012238725,4000
"eps[31]",0.730991897384613,0.940681313230739,-1.08185314876025,0.100852959671288,0.741180774508311,1.36528354837342,2.52329279489663,1.00164528865371,2200
"eps[32]",-0.186735383897738,0.94712863412069,-2.01590083573358,-0.829287471393146,-0.197942109500303,0.442195865589055,1.70265950902429,1.00061787812642,4000
