"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b1[1]",0,0,0,0,0,0,0,1,1
"b1[2]",-6.63716915780978,4.69839480232213,-17.9539807234953,-7.88817780734373,-5.43672112130523,-3.89800081239931,-2.08781059094776,1.00252388243422,2800
"b1[3]",-0.364490286460355,0.189790896722838,-0.730224667989008,-0.494333028373292,-0.363709168451003,-0.238819280652482,0.00339831811853933,1.001553161034,2400
"b1[4]",-0.538115274378425,0.236156018324816,-0.993237154029844,-0.692704761230055,-0.54038494883884,-0.383630286695944,-0.066261949044396,1.00076880061805,4000
"b1[5]",-0.636856506674197,0.170084539798959,-0.964345223315653,-0.749992788971309,-0.638664116702706,-0.521821360976535,-0.300528225287993,1.00128192206213,3200
"b1[6]",-5.45872615248227,5.08778032124687,-18.3004575730944,-6.75781550373826,-4.21997972787677,-2.43782675724529,-0.396682030888022,1.00405923955435,1600
"b1[7]",-5.31196994908929,4.62458684361507,-17.252738140144,-6.68289798259858,-4.12661917665188,-2.48655825008761,-0.342576745620402,1.00504722507792,1300
"b1[8]",-6.0462805753672,4.9562150445938,-18.1229591481881,-7.24963183845714,-4.79721937235501,-3.24970593575312,-1.33614322878457,1.01404977217721,2500
"b1[9]",-6.24322190687234,4.83144029841891,-18.1631358079701,-7.47370724643471,-5.04697089754579,-3.50316934432472,-1.70122714535412,1.01665895266748,1200
"b2[1]",0,0,0,0,0,0,0,1,1
"b2[2]",-1.11356352730427,0.182803598563222,-1.47312739055455,-1.23586843957583,-1.11441148674261,-0.987661669140889,-0.762459440683089,1.00101923193302,4000
"b3[1]",0.0725406074223471,0,0.0725406074223471,0.0725406074223471,0.0725406074223471,0.0725406074223471,0.0725406074223471,1,1
"b3[2]",0.116656555359702,0,0.116656555359702,0.116656555359702,0.116656555359702,0.116656555359702,0.116656555359702,1,1
"b3[3]",0.0534450608075741,0,0.053445060807574,0.053445060807574,0.053445060807574,0.053445060807574,0.053445060807574,1,1
"b3[4]",-0.0357465269687296,0,-0.0357465269687296,-0.0357465269687296,-0.0357465269687296,-0.0357465269687296,-0.0357465269687296,1,1
"b3[5]",0.0573162288945702,0.117805059374376,-0.173595337788334,-0.0229964880672353,0.0581530845012683,0.1372689075847,0.29056024654604,1.00081100141472,4000
"deviance",881.34627476206,7.19328294321574,868.665645455566,876.349897704121,880.690912158635,885.865008494037,896.535539735321,1.00088801273616,4000
"eps[1]",0.138227715613927,0.97244403414565,-1.78649585192746,-0.522327435487082,0.135135451905343,0.794101166903478,2.05246602588835,1.00103717365429,4000
"eps[2]",0.153986404825115,0.984510485960498,-1.77078338858885,-0.513966981651082,0.147813766604875,0.829371301100374,2.05764803087618,1.00328696491723,900
"eps[3]",0.13855348753812,0.976634449953078,-1.7544452867035,-0.520775955541501,0.141176536804704,0.775992633408757,2.05647547999004,1.00083237431781,4000
"eps[4]",0.13367857513293,0.961078467679966,-1.76910168271084,-0.509448631760502,0.143968659172681,0.78238385864011,2.019812835082,1.0022822382454,1400
"eps[5]",0.135095998574339,0.988998954078141,-1.80537483776144,-0.517003088447513,0.12255951404253,0.795488783660257,2.12443274255669,1.00060359766417,4000
