"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"sigma_disp",0.956840841122325,0.00238782317054842,0.0489655914786427,0.868912598359547,0.923669755075077,0.957009416913073,0.983550960922429,1.05706733946307,420.511314469866,0.992916396208062
"sigma_day",0.636905565934043,0.00980895512958994,0.125536021591534,0.427960252967081,0.546246640080734,0.625234047785441,0.707774331120878,0.929604205342962,163.791449585687,1.00672045986162
"sigma_set",0.212725375997225,0.0125251818409024,0.141030165245069,0.0104972669732649,0.116868257007646,0.192533300725454,0.278121197717247,0.526692720255416,126.781518801989,1.01709852607317
"eps_day[1]",0.0149915001082512,0.0550473777472176,0.949357497318227,-1.72076747055814,-0.650767756862236,0.0482054261119837,0.670862681296196,1.87232440488059,297.431045509978,1.00699284335765
"eps_day[2]",-0.0556336099805467,0.0447040957897145,1.02237929814355,-1.91281556130081,-0.788896587721493,-0.109372516910691,0.614441571079911,1.86571280490695,523.033449287763,0.999680078157299
"eps_day[3]",0.00959105471858865,0.0421709327713132,0.90910252208897,-1.74852710422194,-0.606827462566263,-0.00522911161055917,0.623801703693622,1.74013008654653,464.728504200873,1.00376122820927
"eps_day[4]",0.151270886247877,0.036617065395114,0.906914201224492,-1.76666486125768,-0.452372267813955,0.149463675647312,0.763693687524043,1.74237970991245,613.430455099012,0.998411216984389
"eps_day[5]",0.339232251889371,0.0392366177508185,1.02792334593386,-1.73219762317393,-0.330421649088258,0.33633470182331,1.0037510584395,2.56461899902383,686.338454462272,0.993147470076478
"eps_day[6]",0.41518972162468,0.0374698840824592,0.886514325612672,-1.41696017950634,-0.1477854958718,0.387851796895203,1.05886220367295,2.0518628648863,559.766387700673,1.00582110757007
"eps_day[7]",0.445400651976609,0.0369434663269372,0.875001950813532,-1.26382043296891,-0.123237541027842,0.470718005219346,1.0563007107136,2.16400175037485,560.974033085547,1.00640400123621
"eps_day[8]",0.708667993668652,0.0393462880123415,0.872452751072802,-1.05325124565969,0.178660226583552,0.736722058536089,1.32286079895158,2.39176160232914,491.672931760663,1.00027538851468
"eps_day[9]",0.683155157794898,0.0361859321573317,0.940979414848373,-1.11447797801639,0.0939446769630125,0.62938041693404,1.34782172136445,2.38422798275476,676.20864124297,0.9938817119825
"eps_day[10]",1.52862808894537,0.0293936706477857,0.82725778062418,-0.0427241475455588,0.977182791513911,1.55162826220069,2.09892316917254,2.98757201973463,792.089167080183,0.992994623825153
"eps_day[11]",0.0708756219688093,0.0288327731549035,0.82619995374045,-1.58234109796118,-0.505858461292862,0.0930088491349085,0.620349544075313,1.61845513769519,821.102741964883,0.996726850112109
"eps_day[12]",0.178904121701696,0.029236529446863,0.82803724348111,-1.32594131878665,-0.425337116174606,0.165006540908629,0.743578361972011,1.80358906035538,802.136180928169,0.998368821702436
"eps_day[13]",0.752681596643904,0.0291204882539064,0.704309123490106,-0.565197460704246,0.259750032458323,0.669288198237818,1.24766529790698,2.14842304593936,584.964248098405,1.00033640061866
"eps_day[14]",0.308700338423214,0.0431477803451978,0.826977116562136,-1.37381042337856,-0.229026225879375,0.318701830914161,0.848159987049337,1.98103383006408,367.341560169349,1.00304005724857
"eps_day[15]",0.281250908195097,0.0354947792456604,0.87120322680208,-1.42675635190783,-0.301034890208279,0.281514911162012,0.831144120735782,2.23972186787149,602.434717389766,0.993566599679519
"eps_day[16]",0.212921993367283,0.0370106473716366,0.848218057838538,-1.46441482651337,-0.368105409699932,0.186205222389206,0.820925869920778,1.87396393810806,525.244682924115,1.00753320843603
"eps_day[17]",0.31579941852348,0.0248585944335577,0.801983101021474,-1.26279709571721,-0.169076917945077,0.316232497283971,0.789957191624109,2.13517198201032,1040.82399653119,0.992019923299543
"eps_day[18]",0.15960403850226,0.0211852944981637,0.683475818518309,-1.17221258509321,-0.335887047708261,0.132606599218756,0.630289191006565,1.39470646798186,1040.82399653119,0.996879944660212
"eps_day[19]",0.415332473115264,0.0199210321776308,0.642688435344428,-0.84089871789488,-0.0058556140783713,0.395185846107999,0.824431054525756,1.69972782075838,1040.82399653119,0.994710858601749
"eps_day[20]",2.29502678755968,0.0244576726864292,0.570244416288614,1.17028725225035,1.91638902583933,2.31829006793712,2.63383561526041,3.43840353439745,543.615493135488,1.00081479793345
"eps_day[21]",0.15640091418747,0.0269477643364117,0.669620813484427,-1.06086349350202,-0.350131826751373,0.130026824195902,0.658622420537464,1.41149390872889,617.465087492369,0.995484431304481
"eps_day[22]",-0.388237701497473,0.0200345226552532,0.646349842887936,-1.60810278379415,-0.844298531960608,-0.386800265810994,0.0382258182290175,0.910253833165584,1040.82399653119,0.991878471026329
"eps_day[23]",-0.540914965171894,0.022569170066052,0.669843771570823,-1.92940358702508,-0.982777031426909,-0.534674064063469,-0.0928640831161818,0.69503902163733,880.87821345729,0.996952561226491
"eps_day[24]",0.657969507886723,0.0214119601125774,0.634995213968309,-0.770224605493283,0.288359387818699,0.67533648419697,1.05919474519458,1.91280259080239,879.484221985341,0.994651248340286
"eps_day[25]",-1.12391711844802,0.0207499455032381,0.608186191171923,-2.31659866435054,-1.49177858881159,-1.11953553949978,-0.747389720924874,0.0318895882902111,859.091040356215,0.994706317666657
"eps_day[26]",2.12753303206564,0.017230241051392,0.555878659458268,1.05096723473534,1.74875982042186,2.08552477219402,2.48920061095256,3.30398567716031,1040.82399653119,0.994653545690291
"eps_day[27]",-0.255982609274105,0.0178530982645086,0.575973156780071,-1.3867641925524,-0.63400206872878,-0.257885622036654,0.1185516040763,0.939105189503079,1040.82399653119,0.991562003005834
"eps_day[28]",0.533837667687365,0.0187806514899618,0.605897697127662,-0.587871694239712,0.163084195115982,0.510963430075237,0.907918563814275,1.79368385256238,1040.82399653119,0.991525706044517
"eps_day[29]",-0.807457940004688,0.0176037924009473,0.567930099876908,-1.93647338571484,-1.18360191197888,-0.802874129736547,-0.443544861799867,0.332247268197466,1040.82399653119,0.993543879597109
"eps_day[30]",0.511836183984739,0.0180693482057168,0.540439955124907,-0.541287426965173,0.181509265916285,0.496169075571348,0.866710613709039,1.60060755022898,894.560925841294,0.99290876699079
"eps_day[31]",0.0857467088664335,0.0268321246592818,0.696210629032886,-1.21273544642575,-0.389090520273629,0.0461033420818432,0.553813613247135,1.55772046113247,673.2419555701,0.997501413736248
