date,year,site,set_num,time_in,time_out,SthdW,SthdH,BullTrout,Chinook,Sucker,peamouth,whitefish,Bank,Comment,Mesh
2013-02-20,2013,N. Cable,1,9:26,9:38,2,,,,,,,North,,3 1/2
2013-02-20,2013,S. Cable,1,9:50,9:58,1,,,720,,,2,South,,2
2013-02-20,2013,N. Cable,2,10:03,10:11,0,,,,,,,North,,2
2013-02-20,2013,S. Cable,2,10:27,10:35,0,,10,,65,,1,South,,3 1/2
2013-02-27,2013,N. Cable,1,10:50,11:05,5,1,0,,71,,,North,,3 1/2
2013-02-27,2013,S. Cable,1,11:19,11:29,0,,6,,0,,,South,,3 1/2
2013-02-27,2013,N. Cable,2,11:36,11:50,0,,1,,14,,,North,one sthd got out,2
2013-02-27,2013,S. Cable,2,11:55,12:05,0,,0,,1,,,South,lost 2 steelhead,2
2013-03-08,2013,S. Cable,1,9:21,9:32,0,,0,,,,,South,,4 1/4
2013-03-08,2013,middle Cable,1,9:37,9:48,0,,3,,7,,,middle,,4 1/4
2013-03-08,2013,N. Cable,1,9:59,10:17,6,1,0,,,,,North,one sthd got out,4 1/4
2013-03-08,2013,N. Cable,2,10:36,10:49,1,,1,,,,,North,,4 1/4
2013-03-12,2013,N. Cable,1,9:31,9:41,0,,,,,,,North,"2 hit but no capture, brief snag",4 5/8
2013-03-12,2013,S. Cable,1,9:51,9:59,0,,1,,,,,South,,4 5/8
2013-03-12,2013,N. Cable,2,10:18,10:28,1,,1,,3,,,North,Boat got stuck in shallow water,4 5/8
2013-03-12,2013,S. Cable,2,10:36,10:45,0,,,,,,,South,,4 5/8
2013-03-20,2013,N. Cable,1,11:22,11:34,1,,3,,1,,,North,Windy,4 5/8
2013-03-20,2013,S. Cable,1,11:39,11:43,1,,1,,5,,,South,Windy,4 5/8
2013-03-20,2013,S. Cable,2,11:57,12:02,0,,,,,,,South,,4 5/8
2013-03-20,2013,N. Cable,2,12:09,12:24,4,,,,,,,North,,4 5/8
2013-03-28,2013,N. Cable,1,9:33,9:45,7,1,,,,,,North,,
2013-03-28,2013,S. Cable,1,9:55,10:05,0,,4,,,,,South,,
2013-03-28,2013,S. Cable,2,10:10,10:15,1,,,,,,,South,,
2013-03-28,2013,N. Cable,2,10:21,10:36,2,,,,,,,North,,
2013-04-04,2013,Cable,1,9:05,9:10,0,,,,,,,,,
2013-04-04,2013,Cable,2,8:57,9:03,0,,,,,,,,,
2013-04-04,2013,Cable,3,9:05,9:13,4,,,,,,,,1 steelhead fell out of net,
2013-04-04,2013,Cable,4,9:30,9:40,2,,,,,,,,,
2013-04-11,2013,Cable,1,7:46,7:53,0,,,,,,,,,4 5/8
2013-04-11,2013,Cable,2,7:57,8:04,2,,,,1,,,,,4 5/8
2013-04-11,2013,Cable,3,8:18,8:21,0,,,,,,,,,4 5/8
2013-04-11,2013,Cable,4,8:38,8:38,0,,,,,,,,,4 5/8
2013-04-17,2013,N. Cable,1,11:41,11:55,9,,,,,,,North,gill plate damage,4 5/8
2013-04-17,2013,S. Cable,1,12:01,12:16,0,,,,,,,South,,4 5/8
2013-04-17,2013,N. Cable,2,12:18,12:29,4,,,,3,,,North,,4 5/8
2013-04-17,2013,S. Cable,2,12:43,12:57,2,,,,,,,South,,4 5/8
2013-04-24,2013,N. Cable,1,9:53,10:03,8,,,,4,,,North,,4 5/8
2013-04-24,2013,S. Cable,1,10:20,10:31,1,,,,1,1,,South,,4 5/8
2013-04-24,2013,N. Cable,2,10:37,10:48,3,,,,,,,North,,4 5/8
2013-04-24,2013,S. Cable,2,10:54,11:06,0,,,,,,,South,,4 5/8
2013-05-03,2013,N. Cable,1,8:48,8:59,5,,,,,,,North,1 steelhead fell out of net,4 5/8
2013-05-03,2013,S. Cable,1,9:04,9:15,0,,,,,,,South,,4 5/8
2013-05-03,2013,N. Cable,2,9:16,9:30,4,,,,2,,,North,,4 5/8
2013-05-03,2013,S. Cable,2,9:34,9:43,0,,,,5,,,South,,4 5/8
2013-05-08,2013,N. Cable,1,8:32,8:43,1,,,,,,,North,,
2013-05-08,2013,S. Cable,1,8:46,8:52,1,,,,,,,South,,
2013-05-08,2013,N. Cable,2,8:57,9:05,1,,,,,,,North,,
2013-05-08,2013,S. Cable,2,9:07,9:17,2,,,,,,,South,,
2014-02-18,2014,Fernando,1,9:50,10:20,5,0,2,0,,,,,,
2014-02-18,2014,N. Cable,1,11:15,11:32,4,0,2,0,,,,,,
2014-02-18,2014,S. Cable,1,11:38,11:50,1,1,6,0,,,,,,
2014-02-25,2014,Fernando,1,7:54,8:15,6,0,4,0,0,0,0,N/A,twist ,"4 5/8"""
2014-02-25,2014,N. Cable,1,9:25,9:40,11,1,10,0,5,0,0,North bank,hatchery fish released,"4 5/8"""
2014-02-25,2014,S. Cable,1,9:47,10:04,0,0,10,0,0,0,0,South bank,N/A,"4 5/8"""
2014-03-03,2014,Purr,1,9:40,9:50,1,1,2,0,2,,,,,
2014-03-03,2014,Purr,2,10:03,10:16,2,1,1,0,3,,,,,
2014-03-03,2014,Fernando,1,11:07,11:22,0,0,0,0,0,,,,,
2014-03-03,2014,N. Cable,1,11:43,11:54,2,1,1,0,3,,,,,
2014-03-13,2014,Purr,1,9:14,9:31,10,0,9,0,11,,,,,
2014-03-13,2014,Fernando,1,11:09,11:29,8,0,6,0,19,,,,,
2014-03-13,2014,N. Cable,1,12:40,12:52,4,0,4,0,4,,,,,
2014-03-19,2014,Purr,1,8:17,8:29,6,0,19,0,12,0,0,N/A,N/A,"4 5/8"""
2014-03-19,2014,Fernando,1,9:27,9:48,8,0,7,0,9,0,0,N/A,N/A,"4 5/8"""
2014-03-19,2014,Cable,1,10:53,11:02,7,0,3,0,3,0,0,North,N/A,"4 5/8"""
2014-03-24,2014,Purr,1,9:15,9:33,1,0,2,0,16,0,0,N/A,N/A,"4 5/8"""
2014-03-24,2014,Fernando,1,10:12,10:26,14,0,6,1,4,0,0,N/A,N/A,"4 5/8"""
2014-03-24,2014,Cable,1,11:45,11:55,13,0,3,0,5,0,0,North,2 recaps,"4 5/8"""
2014-04-01,2014,Purr,1,9:29,9:47,7,0,7,0,2,0,0,N/A,1 recap,"4 5/8"""
2014-04-01,2014,Fernando,1,10:57,11:13,6,0,0,0,0,0,0,N/A,N/A,"4 5/8"""
