"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b1[1]",0,0,0,0,0,0,0,1,1
"b1[2]",0.269684843606288,0.310803587685338,-0.338257426455066,0.0579962414365343,0.278995615282105,0.485082853024272,0.873478049196032,1.00162615062108,2200
"b1[3]",-4.16917041048567,2.06307189006803,-8.98598755542169,-5.03900902707984,-3.7809790148494,-2.85164790940263,-1.53754733122692,1.01135262294768,2600
"b1[4]",-0.257996824728922,0.249136986884553,-0.756283556117006,-0.42687464546993,-0.255585766628223,-0.0910278078108832,0.226804040235742,1.00088088094516,4000
"b1[5]",-0.419043381996261,0.304961145426676,-1.02257069465807,-0.629862565858043,-0.416277341724825,-0.207535086937056,0.174996968445671,1.00108671970093,4000
"b1[6]",-2.72335497638686,2.13710521320378,-7.91981574579936,-3.67528069628791,-2.36027168721617,-1.35110494755695,0.331550093167367,1.00121777259786,3500
"b1[7]",0.135584517109338,0.257462075752205,-0.381593203528447,-0.0313979793406628,0.135605689336789,0.313767633776711,0.618443528232032,1.00114741236942,3900
"b1[8]",0.349778892361311,0.851920032837762,-1.32717395629622,-0.210755172685334,0.361591109667744,0.910618119675902,2.01863468163613,1.00100043401435,4000
"b1[9]",-0.538132055151319,0.246382847450771,-1.02032530231324,-0.704147027290694,-0.539967135741266,-0.371156186764879,-0.0567906467643235,1.00126045246544,3300
"b1[10]",-1.59855556906405,0.432827813931327,-2.48275571853267,-1.87755044027091,-1.58576897590367,-1.30745647324357,-0.773559334173291,1.00052894894096,4000
"b1[11]",-3.00463097412823,2.22716364243185,-8.43760224243661,-3.93714547392096,-2.63285943919625,-1.58748983671801,0.0177747465147385,1.00217894100182,3400
"b1[12]",-3.03754845458856,2.19400389647532,-8.45181733570879,-3.93441825278949,-2.62522206371683,-1.55325405766516,-0.0551180392815119,1.00061864226474,4000
"b1[13]",-3.55588310382999,1.92023287341134,-8.49932708139343,-4.47415903299409,-3.21129389501595,-2.25724990001397,-0.870554891610402,1.00068554215999,4000
"b1[14]",-3.81643069646272,2.00835796372578,-8.72232153337275,-4.72796515173851,-3.4722846417543,-2.4835155646082,-1.04666117855887,1.00073794255955,4000
"b2[1]",0,0,0,0,0,0,0,1,1
"b2[2]",-0.913750970485716,0.17517378567125,-1.24539469015267,-1.03463023841019,-0.913691933557588,-0.796695131705275,-0.561557481471431,1.00053543943354,4000
"b3[1]",0.0725406074223471,0,0.0725406074223471,0.0725406074223471,0.0725406074223471,0.0725406074223471,0.0725406074223471,1,1
"b3[2]",0.116656555359702,0,0.116656555359702,0.116656555359702,0.116656555359702,0.116656555359702,0.116656555359702,1,1
"b3[3]",0.0534450608075741,0,0.053445060807574,0.053445060807574,0.053445060807574,0.053445060807574,0.053445060807574,1,1
"b3[4]",-0.0357465269687296,0,-0.0357465269687296,-0.0357465269687296,-0.0357465269687296,-0.0357465269687296,-0.0357465269687296,1,1
"b3[5]",-0.0283687200481334,0.130292217298694,-0.28045632872614,-0.115729559410482,-0.0303923274407683,0.0598532602716336,0.227929362657348,1.00207854973891,1600
"deviance",934.934681139403,9.69072135612718,917.586422686581,928.543738481081,934.120248455585,940.829276218482,956.160686246948,1.00071993988664,4000
"eps[1]",0.11909067589117,0.983348011342805,-1.86562576108308,-0.528964040852813,0.135259352965455,0.811730326875844,2.01080005636231,1.00116475887671,3800
"eps[2]",0.0969413215973869,0.983036717655886,-1.78513932479028,-0.561401425731011,0.095492668100596,0.780917999478483,1.9955187952363,1.0014984606384,2500
"eps[3]",0.114663130769032,0.966149642568297,-1.75834459428553,-0.528184800023789,0.0938687533292191,0.769458257277651,2.06405414964722,1.00106341908676,4000
"eps[4]",0.123471505565759,0.999543082358948,-1.84733336892674,-0.524366598183578,0.100713372600056,0.797172808753519,2.05077959431178,1.00118879347386,3600
"eps[5]",0.110116774553492,0.989685582547751,-1.83994344338858,-0.557240517957461,0.10315264336469,0.766135227572015,2.07610164616691,1.00087563519562,4000
"eps[6]",0.0855305674863778,0.988021812471536,-1.84588390699207,-0.574306523879264,0.0845933171865014,0.738705031915088,2.00805470440657,1.00066654391606,4000
"eps[7]",0.135308464184539,1.00075078247076,-1.84735223940735,-0.54113408465436,0.148405356441868,0.809598416902382,2.13472182874082,1.00068353340279,4000
"eps[8]",0.409732882406129,0.993417262638371,-1.49880436926124,-0.264023097580089,0.414498579132731,1.04464648724494,2.40651865165007,1.00071728230429,4000
"eps[9]",0.424391599321725,0.982603185581172,-1.50835796072972,-0.207413195477458,0.418603746293967,1.07788779941421,2.39531102325776,1.00078861315386,4000
"eps[10]",0.380038022648894,0.973990911196634,-1.54972061700757,-0.25914694992818,0.381134876293593,1.03626428417111,2.25298972651043,1.00073782617838,4000
"eps[11]",0.435558753655589,0.985345597336082,-1.51170091354324,-0.222628543579711,0.452782119744013,1.09285427357496,2.38252025751295,1.00220323272076,1500
"eps[12]",0.414858475365274,0.958172243838865,-1.41572420290285,-0.243673617556443,0.409693456566197,1.05370705300753,2.2991522144927,1.00065764515578,4000
"eps[13]",0.198852395786635,0.981581157250969,-1.74946400780585,-0.451116420749787,0.209251477255517,0.866423310477221,2.12152187498064,1.00076516120608,4000
"eps[14]",0.20783190303694,0.980456617557496,-1.71518660408743,-0.456084291078287,0.223596483097921,0.871663999944456,2.07573633735189,1.00071139465069,4000
"eps[15]",0.174694833894325,0.98354340091383,-1.76510755397688,-0.505810785060989,0.190468997873945,0.830440898204039,2.07522034996992,1.0018905641815,1800
